Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",Protein Coding,P42336,56,GC03P179148,144.7482605,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA
POLE,"DNA Polymerase Epsilon, Catalytic Subunit",Protein Coding,Q07864,52,GC12M132750,142.0521545,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE
PMS2,"PMS1 Homolog 2, Mismatch Repair System Component",Protein Coding,P54278,53,GC07M005973,141.6220245,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2
STK11,Serine/Threonine Kinase 11,Protein Coding,Q15831,54,GC19P001177,136.2097473,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11
EGFR,Epidermal Growth Factor Receptor,Protein Coding,P00533,59,GC07P055019,132.9923706,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR
CTNNB1,Catenin Beta 1,Protein Coding,P35222,57,GC03P041194,132.6690063,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1
POT1,Protection Of Telomeres 1,Protein Coding,Q9NUX5,46,GC07M124822,126.9505768,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POT1
BAP1,BRCA1 Associated Protein 1,Protein Coding,Q92560,51,GC03M052401,126.3664703,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAP1
KRAS,"KRAS Proto-Oncogene, GTPase",Protein Coding,P01116,57,GC12M026163,126.3339844,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS
HRAS,"HRas Proto-Oncogene, GTPase",Protein Coding,P01112,56,GC11M008886,126.1445465,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS
KIT,"KIT Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,P10721,57,GC04P054657,124.121582,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT
ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,Protein Coding,P04626,59,GC17P039687,122.5297623,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2
TERT,Telomerase Reverse Transcriptase,Protein Coding,O14746,55,GC05M001253,121.6143799,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT
NF1,Neurofibromin 1,Protein Coding,P21359,52,GC17P031094,121.1282654,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1
AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,P31749,57,GC14M104769,120.6516266,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1
NRAS,"NRAS Proto-Oncogene, GTPase",Protein Coding,P01111,54,GC01M114704,119.9081879,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS
NBN,Nibrin,Protein Coding,O60934,52,GC08M089933,119.2148056,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN
C11orf65,Chromosome 11 Open Reading Frame 65,Protein Coding,Q8NCR3,34,GC11M108308,118.8406601,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf65
MC1R,Melanocortin 1 Receptor,Protein Coding,Q01726,51,GC16P089912,110.2823029,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC1R
LOC126862571,BRD4-Independent Group 4 Enhancer GRCh37_chr17:41243136-41244335,Functional Element,,3,GC17P088426,110.0811539,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862571
MITF,Melanocyte Inducing Transcription Factor,Protein Coding,O75030,52,GC03P069740,105.3644867,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MITF
POLD1,"DNA Polymerase Delta 1, Catalytic Subunit",Protein Coding,P28340,50,GC19P089975,105.2488708,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLD1
RAD50,RAD50 Double Strand Break Repair Protein,Protein Coding,Q92878,53,GC05P132556,104.8445053,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD50
RB1,RB Transcriptional Corepressor 1,Protein Coding,P06400,52,GC13P048303,104.8416061,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1
AXIN2,Axin 2,Protein Coding,Q9Y2T1,53,GC17M065528,102.9858704,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXIN2
SMAD4,SMAD Family Member 4,Protein Coding,Q13485,57,GC18P051028,102.3292007,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4
MET,"MET Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,P08581,58,GC07P116672,102.2321167,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET
RAD51D,RAD51 Paralog D,Protein Coding,O75771,45,GC17M035092,101.7462921,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51D
MUTYH,MutY DNA Glycosylase,Protein Coding,Q9UIF7,49,GC01M045329,98.43390656,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUTYH
H19,H19 Imprinted Maternally Expressed Transcript,RNA Gene,,28,GC11M001995,94.30308533,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19
RAD51C,RAD51 Paralog C,Protein Coding,O43502,47,GC17P058692,93.81325531,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51C
RET,Ret Proto-Oncogene,Protein Coding,P07949,58,GC10P043671,93.76300049,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET
ALK,ALK Receptor Tyrosine Kinase,Protein Coding,Q9UM73,54,GC02M029190,91.53472137,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK
MAP2K1,Mitogen-Activated Protein Kinase Kinase 1,Protein Coding,Q02750,58,GC15P066386,88.70838165,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1
RAD51L3-RFFL,RAD51L3-RFFL Readthrough,RNA Gene,,10,GC17M035009,87.496521,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51L3-RFFL
TSC2,TSC Complex Subunit 2,Protein Coding,P49815,54,GC16P052432,87.21630859,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2
SMARCA4,"SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4",Protein Coding,P51532,55,GC19P088794,86.80039978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4
PDGFRA,Platelet Derived Growth Factor Receptor Alpha,Protein Coding,P16234,57,GC04P054229,86.55108643,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA
PVT1,Pvt1 Oncogene,RNA Gene,,27,GC08P127945,85.81479645,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1
MSH3,MutS Homolog 3,Protein Coding,P20585,47,GC05P080654,85.36407471,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH3
MYC,"MYC Proto-Oncogene, BHLH Transcription Factor",Protein Coding,P01106,56,GC08P127735,85.32968903,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC
BLM,BLM RecQ Like Helicase,Protein Coding,P54132,53,GC15P090717,83.55416107,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLM
DICER1,"Dicer 1, Ribonuclease III",Protein Coding,Q9UPY3,52,GC14M095086,83.49179077,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1
MEG3,Maternally Expressed 3,RNA Gene,,29,GC14P113576,83.28774261,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3
MALAT1,Metastasis Associated Lung Adenocarcinoma Transcript 1,RNA Gene,,25,GC11P079854,83.07234955,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1
MLH3,MutL Homolog 3,Protein Coding,Q9UHC1,44,GC14M075013,81.7647171,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH3
LOC126806658,BRD4-Independent Group 4 Enhancer GRCh37_chr3:41265899-41267098,Functional Element,,3,GC03P041224,81.49263,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126806658
GAS5,Growth Arrest Specific 5,RNA Gene,,25,GC01M173947,81.37361908,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5
PTCH1,Patched 1,Protein Coding,Q13635,55,GC09M095442,80.95860291,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCH1
LRRC56,Leucine Rich Repeat Containing 56,Protein Coding,Q8IYG6,39,GC11P004388,79.76054382,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC56
MRE11,"MRE11 Homolog, Double Strand Break Repair Nuclease",Protein Coding,P49959,52,GC11M114195,79.26238251,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRE11
CDKN2B-AS1,CDKN2B Antisense RNA 1,RNA Gene,,25,GC09P021994,78.82989502,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1
RAF1,"Raf-1 Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,P04049,58,GC03M012583,78.58435822,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAF1
UCA1,Urothelial Cancer Associated 1,RNA Gene,,24,GC19P015828,78.37382507,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCA1
MIR21,MicroRNA 21,RNA Gene,,25,GC17P086838,76.70516205,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21
CCND1,Cyclin D1,Protein Coding,P24385,57,GC11P069641,76.62927246,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1
MIR17,MicroRNA 17,RNA Gene,,20,GC13P091350,76.44649506,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17
XIST,X Inactive Specific Transcript,RNA Gene,,24,GC0XM073820,76.212677,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIST
HOTAIR,HOX Transcript Antisense RNA,RNA Gene,,25,GC12M053962,74.59902191,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIR
FBXW7,F-Box And WD Repeat Domain Containing 7,Protein Coding,Q969H0,50,GC04M152321,74.58737183,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXW7
MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,P42345,59,GC01M011106,74.50102234,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR
GNAQ,G Protein Subunit Alpha Q,Protein Coding,P50148,53,GC09M077716,74.00852203,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAQ
MIR34A,MicroRNA 34a,RNA Gene,,23,GC01M010872,73.17020416,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A
MIR221,MicroRNA 221,RNA Gene,,21,GC0XM045746,73.1683197,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221
CDKN1B,Cyclin Dependent Kinase Inhibitor 1B,Protein Coding,P46527,53,GC12P030709,72.54556274,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B
CTNNA1,Catenin Alpha 1,Protein Coding,P35221,51,GC05P138627,72.16672516,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNA1
FANCC,FA Complementation Group C,Protein Coding,Q00597,52,GC09M095099,70.93966675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCC
MIR31,MicroRNA 31,RNA Gene,,21,GC09M022007,69.83470917,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR31
TSC1,TSC Complex Subunit 1,Protein Coding,Q92574,52,GC09M132891,68.93537903,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1
MIR222,MicroRNA 222,RNA Gene,,21,GC0XM045747,68.854599,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR222
BMPR1A,Bone Morphogenetic Protein Receptor Type 1A,Protein Coding,P36894,55,GC10P100881,68.66555023,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1A
MIR143,MicroRNA 143,RNA Gene,,25,GC05P149470,67.84095001,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR143
LINC-ROR,"Long Intergenic Non-Protein Coding RNA, Regulator Of Reprogramming",RNA Gene,,17,GC18M057054,67.81362915,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC-ROR
MIR205,MicroRNA 205,RNA Gene,,21,GC01P209432,67.50041199,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR205
EPCAM,Epithelial Cell Adhesion Molecule,Protein Coding,P16422,52,GC02P047345,67.24028778,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPCAM
ESR1,Estrogen Receptor 1,Protein Coding,P03372,58,GC06P151656,67.08205414,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1
FGFR2,Fibroblast Growth Factor Receptor 2,Protein Coding,P21802,59,GC10M121478,67.06234741,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2
FLCN,Folliculin,Protein Coding,Q8NFG4,46,GC17M017212,66.99620819,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLCN
MIR182,MicroRNA 182,RNA Gene,,22,GC07M129770,66.99584961,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR182
SF3B1,Splicing Factor 3b Subunit 1,Protein Coding,O75533,49,GC02M197453,66.10388184,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SF3B1
MIR141,MicroRNA 141,RNA Gene,,22,GC12P030503,66.0989151,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR141
AR,Androgen Receptor,Protein Coding,P10275,55,GC0XP067544,65.61721802,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR
MIR34C,MicroRNA 34c,RNA Gene,,22,GC11P112199,65.2585907,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34C
CCAT1,Colon Cancer Associated Transcript 1,RNA Gene,,16,GC08M127207,65.11680603,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT1
MIR200C,MicroRNA 200c,RNA Gene,,23,GC12P030502,65.06848907,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200C
IDH1,Isocitrate Dehydrogenase (NADP(+)) 1,Protein Coding,O75874,57,GC02M208236,64.93714905,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1
FGFR3,Fibroblast Growth Factor Receptor 3,Protein Coding,P22607,59,GC04P002199,64.86128998,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3
GNA11,G Protein Subunit Alpha 11,Protein Coding,P29992,51,GC19P003094,64.81794739,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNA11
TYR,Tyrosinase,Protein Coding,P14679,52,GC11P089177,64.61930847,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYR
FH,Fumarate Hydratase,Protein Coding,P07954,51,GC01M241499,64.60597992,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FH
MIR210,MicroRNA 210,RNA Gene,,22,GC11M008890,64.44343567,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR210
MIR200A,MicroRNA 200a,RNA Gene,,21,GC01P006058,64.34892273,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200A
MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,P28482,57,GC22M021759,64.32603455,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1
HOXB13,Homeobox B13,Protein Coding,Q92826,46,GC17M064641,64.30323029,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXB13
MIRLET7B,MicroRNA Let-7b,RNA Gene,,21,GC22P056922,63.98262405,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7B
MIR200B,MicroRNA 200b,RNA Gene,,22,GC01P001167,63.7389183,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200B
MIR27A,MicroRNA 27a,RNA Gene,,24,GC19M015892,62.76461029,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27A
MIR125A,MicroRNA 125a,RNA Gene,,22,GC19P090041,62.57253265,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A
SPRY4-IT1,SPRY4 Intronic Transcript 1,RNA Gene,,15,GC05M142318,62.3482399,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRY4-IT1
MIR140,MicroRNA 140,RNA Gene,,25,GC16P069934,61.43093109,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR140
GNAS,GNAS Complex Locus,Protein Coding,P84996,54,GC20P058839,61.27147675,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS
ERBB4,Erb-B2 Receptor Tyrosine Kinase 4,Protein Coding,Q15303,58,GC02M211375,61.02224731,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB4
MIR106A,MicroRNA 106a,RNA Gene,,20,GC0XM134399,60.83410263,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106A
ERCC2,"ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit",Protein Coding,P18074,52,GC19M045349,60.80553436,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC2
IL2,Interleukin 2,Protein Coding,P60568,50,GC04M122451,60.77037811,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2
MIR149,MicroRNA 149,RNA Gene,,23,GC02P240456,60.23795319,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR149
CDKN2B,Cyclin Dependent Kinase Inhibitor 2B,Protein Coding,P42772,50,GC09M022002,60.18649292,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B
MIR100,MicroRNA 100,RNA Gene,,22,GC11M122152,59.98403549,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR100
MIR127,MicroRNA 127,RNA Gene,,22,GC14P112881,59.88614655,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR127
MIR183,MicroRNA 183,RNA Gene,,20,GC07M129866,59.62742615,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR183
PALLD,"Palladin, Cytoskeletal Associated Protein",Protein Coding,Q8WX93,47,GC04P168497,59.34074783,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALLD
MIRLET7D,MicroRNA Let-7d,RNA Gene,,23,GC09P094178,58.98926163,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7D
BANCR,BRAF-Activated Non-Protein Coding RNA,RNA Gene,,15,GC09M069296,58.38206482,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BANCR
CASP8,Caspase 8,Protein Coding,Q14790,56,GC02P201233,58.35507584,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8
MDM2,MDM2 Proto-Oncogene,Protein Coding,Q00987,57,GC12P068808,58.34267426,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2
MIR204,MicroRNA 204,RNA Gene,,23,GC09M070809,58.0755043,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR204
CASC2,Cancer Susceptibility 2,RNA Gene,Q8IU53,27,GC10P118046,57.99814224,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC2
XRCC3,X-Ray Repair Cross Complementing 3,Protein Coding,O43542,46,GC14M103697,57.87147522,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC3
MIR139,MicroRNA 139,RNA Gene,,22,GC11M072615,57.40899277,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR139
MIR15A,MicroRNA 15a,RNA Gene,,17,GC13M050049,57.37303543,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR15A
MIR145,MicroRNA 145,RNA Gene,,24,GC05P149430,57.28141785,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR145
MIR23B,MicroRNA 23b,RNA Gene,,21,GC09P095085,57.25937271,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23B
PIK3R1,Phosphoinositide-3-Kinase Regulatory Subunit 1,Protein Coding,P27986,55,GC05P068215,57.23282623,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1
MIR191,MicroRNA 191,RNA Gene,,22,GC03M052653,57.2218132,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR191
MIR224,MicroRNA 224,RNA Gene,,17,GC0XM151958,57.14230347,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR224
MIR211,MicroRNA 211,RNA Gene,,22,GC15M031065,56.41457367,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR211
MIR19A,MicroRNA 19a,RNA Gene,,21,GC13P091631,56.39814758,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR19A
AOPEP,Aminopeptidase O (Putative),Protein Coding,Q8N6M6,43,GC09P096181,55.96442032,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOPEP
EZH2,Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit,Protein Coding,Q15910,57,GC07M148807,55.9275322,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2
MIR96,MicroRNA 96,RNA Gene,,21,GC07M129774,55.89612961,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR96
STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,P40763,58,GC17M042313,55.46862793,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
DNMT3A,DNA Methyltransferase 3 Alpha,Protein Coding,Q9Y6K1,55,GC02M025228,55.44363403,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3A
MIR181A1,MicroRNA 181a-1,RNA Gene,,20,GC01M198860,55.38905334,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181A1
VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,P15692,53,GC06P043770,55.16743469,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA
BAX,"BCL2 Associated X, Apoptosis Regulator",Protein Coding,Q07812,55,GC19P048954,55.01395416,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX
XRCC2,X-Ray Repair Cross Complementing 2,Protein Coding,O43543,45,GC07M152644,54.84713745,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC2
CXCL8,C-X-C Motif Chemokine Ligand 8,Protein Coding,P10145,48,GC04P073740,54.32380295,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8
BCL2,BCL2 Apoptosis Regulator,Protein Coding,P10415,55,GC18M063123,54.29071808,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2
MGMT,O-6-Methylguanine-DNA Methyltransferase,Protein Coding,P16455,53,GC10P129467,54.13322449,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGMT
ERBB3,Erb-B2 Receptor Tyrosine Kinase 3,Protein Coding,P21860,58,GC12P058609,53.90700531,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3
MIR155,MicroRNA 155,RNA Gene,,22,GC21P025573,53.82996368,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155
HOXA11-AS,HOXA11 Antisense RNA,RNA Gene,,22,GC07P027184,53.58900833,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA11-AS
MEN1,Menin 1,Protein Coding,O00255,48,GC11M064803,53.51499557,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1
EP300,E1A Binding Protein P300,Protein Coding,Q09472,56,GC22P056779,53.29706955,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300
MIR199B,MicroRNA 199b,RNA Gene,,20,GC09M128244,53.28092575,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR199B
PCAT1,Prostate Cancer Associated Transcript 1,RNA Gene,,19,GC08P126553,52.74571609,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT1
MIRLET7G,MicroRNA Let-7g,RNA Gene,,20,GC03M052268,52.70719147,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7G
TSPAN31,Tetraspanin 31,Protein Coding,Q12999,44,GC12P057738,52.67737961,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN31
VHL,Von Hippel-Lindau Tumor Suppressor,Protein Coding,P40337,52,GC03P018360,52.38872528,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VHL
MIR30A,MicroRNA 30a,RNA Gene,,20,GC06M071403,52.31201172,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30A
RAD51,RAD51 Recombinase,Protein Coding,Q06609,54,GC15P040694,52.04323959,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51
MIR122,MicroRNA 122,RNA Gene,,22,GC18P058451,52.0350914,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR122
MIR214,MicroRNA 214,RNA Gene,,23,GC01M172234,52.02073669,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR214
LZTR1,Leucine Zipper Like Post Translational Regulator 1,Protein Coding,Q8N653,47,GC22P056081,51.90974045,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LZTR1
SOX2-OT,SOX2 Overlapping Transcript,RNA Gene,,27,GC03P180989,51.84806824,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX2-OT
MAP2K2,Mitogen-Activated Protein Kinase Kinase 2,Protein Coding,P36507,58,GC19M004090,51.84288025,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K2
